full_text,text_final,skor_sentimen,label
Doni Gobay: Program MBG Adalah Bentuk Keadilan Sosial. Pastikan setiap anak Papua mendapatkan hak makanan bergizi. #MBG #makanbergizigratis https://t.co/zYgWPaGiRE,doni gobay program mbg bentuk adil sosial pasti anak papua hak makan gizi,9,positif
Transparansi adalah kunci! 📊 Realisasi anggaran MBG dikelola secara akuntabel demi menjangkau lebih banyak anak sekolah di seluruh pelosok negeri #RealisasiAnggaranMBG #MBGGiziTerpenuhi #MakanBergiziGratis https://t.co/AUmz8oBWWm,transparansi kunci realisasi anggar mbg kelola akuntabel jangkau anak sekolah pelosok negeri,2,positif
MBG menjadi salah satu upaya pemerintah untuk memenuhi kebutuhan gizi dan meningkatkan kesehatan para siswa. Ini merupakan bukti nyata kepedulian pemerintah terhadap masa depan bangsa. #mbg #makanbergizigratis #giziterpenuhi #indonesia https://t.co/y8xkt5tRVr,mbg salah upaya perintah penuh butuh gizi tingkat sehat siswa bukti nyata peduli perintah bangsa,-3,negatif
Yogya Keren #makanbergizigratis #cekkesehatangratis #peradaban https://t.co/cpbZeRor48,yogya keren,0,netral
Program MBG Diawasi Ketat Untuk Menjaga Kualitas #MakanBergiziGratis https://t.co/qwXIodfbFu,program mbg awas ketat jaga kualitas,1,positif
Aksi Heroik Siswa Tolak Makan Gratis dan Buat Surat Terbuka Agar Dananya untuk Kesejahteraan Guru Honorer Saja Bikin merinding sekaligus pengen nangis! Seorang pelajar di Kudus nekat nolak… https://t.co/kD57jKDeJ2 #makanbergizigratis #guruhonorer #beritaviral #fyp #indonesia https://t.co/LmK5ueMjuU,aksi heroik siswa tolak makan gratis surat buka dana sejahtera guru honorer bikin merinding pengin menang ajar kudus nekat nolak,8,positif
kerja sama BGN dan Kejaksaan Agung mengawasi SPPG melalui aplikasi “Jaga Dapur MBG” #JagaDapurMBG #MakanBergiziGratis https://t.co/B8sulW6Xod,kerja bgn jaksa agung awas sppg aplikasi jaga dapur mbg,-2,negatif
 dan berprestasi.;,prestasi,0,netral
Makan Bergizi Gratis diyakini mampu mempercepat penurunan angka malnutrisi secara merata #MBG #MakanBergiziGratis https://t.co/hqzIZlGoZF,makan gizi gratis yakin cepat turun angka malnutrisi rata,2,positif
Program Makan Bergizi Gratis adalah investasi jangka panjang bagi kesehatan generasi masa depan #MBG #MakanBergiziGratis https://t.co/DxOUYGjdiz,program makan gizi gratis investasi jangka sehat generasi,7,positif
Pemerintahan Prabowo-Gibran menghadirkan Makan Bergizi Gratis sebagai strategi nasional melawan malnutrisi #MBG #MakanBergiziGratis https://t.co/3R24OfKsSS,perintah prabowo gibran hadir makan gizi gratis strategi nasional lawan malnutrisi,0,netral
 dan berdaya.;,daya,0,netral
BGN Beri Sanksi 1.251 SPPG MBG yang Tak Sesuai Standar https://t.co/gq89UtCJKN #MakanBergiziGratis,bgn sanksi sppg mbg tak sesuai standar,1,positif
Pemerintah Pastikan Anggaran MBG dan Koperasi Desa Merah Putih Tak Dipangkas https://t.co/9Tin0GW0Hl #MakanBergiziGratis,perintah pasti anggar mbg koperasi desa merah putih tak pangkas,3,positif
Makan Bergizi Gratis diyakini mampu mempercepat penurunan angka malnutrisi nasional #MBG #MakanBergiziGratis https://t.co/rB0029c04j,makan gizi gratis yakin cepat turun angka malnutrisi nasional,5,positif
Program Makan Bergizi Gratis adalah investasi penting bagi kesehatan generasi masa depan #MBG #MakanBergiziGratis https://t.co/V6jDjs5PUZ,program makan gizi gratis investasi sehat generasi,4,positif
Pemerintahan Prabowo-Gibran menghadirkan Makan Bergizi Gratis sebagai strategi melawan malnutrisi #MBG #MakanBergiziGratis https://t.co/7LbtICLQcB,perintah prabowo gibran hadir makan gizi gratis strategi lawan malnutrisi,0,netral
Kebijakan Makan Bergizi Gratis menjadi solusi nyata untuk meningkatkan kualitas gizi masyarakat #MBG #MakanBergiziGratis https://t.co/rGGdaM7yDS,bijak makan gizi gratis solusi nyata tingkat kualitas gizi masyarakat,13,positif
Program Makan Bergizi Gratis Pemerintah Prabowo-Gibran diyakini sebagai langkah progresif dalam mengatasi malnutrisi #MBG #MakanBergiziGratis https://t.co/0JWNjNyuJZ,program makan gizi gratis perintah prabowo gibran yakin langkah progresif atas malnutrisi,7,positif
 sementara ekonomi lokal tumbuh bersama.;,ekonomi lokal tumbuh,0,netral
BGN Hentikan Operasional 2 SPPG di Sulsel Imbas Telat Kirim Paket MBG https://t.co/EmxRdFl6Ef #MakanBergiziGratis,bgn henti operasional sppg sulsel imbas telat kirim paket mbg,-7,negatif
BGN Perkuat Kualitas MBG Lewat Bimtek Higienitas Dapur SPPG #MakanBergiziGratis https://t.co/XA1435L9n2,bgn kuat kualitas mbg bimtek higienitas dapur sppg,3,positif
Program Makan Bergizi Gratis adalah investasi masa depan bagi generasi Indonesia yang sehat #MBG #MakanBergiziGratis https://t.co/lWtLVZgNbI,program makan gizi gratis investasi generasi indonesia sehat,4,positif
Makan Bergizi Gratis menjadi strategi penting dalam menekan angka malnutrisi di Indonesia #MBG #MakanBergiziGratis https://t.co/HurFvDwqfd,makan gizi gratis strategi tekan angka malnutrisi indonesia,2,positif
Pemerintahan Prabowo-Gibran menghadirkan solusi nyata melalui Program Makan Bergizi Gratis #MBG #MakanBergiziGratis https://t.co/Pgw4TfDne1,perintah prabowo gibran hadir solusi nyata program makan gizi gratis,8,positif
Program Makan Bergizi Gratis Pemerintah Prabowo-Gibran diyakini menjadi langkah progresif dalam mengatasi malnutrisi nasional #MBG #MakanBergiziGratis https://t.co/bchHau4qYQ,program makan gizi gratis perintah prabowo gibran yakin langkah progresif atas malnutrisi nasional,7,positif
halah.. cuma 1 1/2 hari #mbg 🥱 https://t.co/fJKziuPEKK,halah,-5,negatif
@berhomonim Terdeteksi buzzerp #MBG https://t.co/FgGZTifDhE,deteksi buzzerp,0,netral
 di ALIH-kan ke;,alih,0,netral
Mari Berjoget Gemoy #MBG,joget gemoy,0,netral
potret lauk #mbg yg di korup : https://t.co/BrIq1tx16V,potret lauk korup,-5,negatif
@DokterTifa Memalukan Bangsa Guys #MBG 😆,malu bangsa guys,-1,negatif
Program Makan Bergizi Gratis adalah investasi penting untuk menumbuhkan generasi penerus bangsa yang kuat untuk menyongsong Indonesia Emas di masa yang akan datang #MBG #Kalbar #IndonesiaEmas https://t.co/wHGb9MKQVM,program makan gizi gratis investasi tumbuh generasi terus bangsa kuat songsong indonesia emas,-2,negatif
Peningkatan ekonomi yang dirasakan pedagang buah di Pasar Gede Solo karena #mbg. #sppg #bgn #prabowogibran,tingkat ekonomi rasa dagang buah pasar gede solo,0,netral
[Liputan6 — 72 Siswa Keracunan MBG] ⚠️ 72 siswa keracunan dari program MBG. DPR desak dapur SPPG Pondok Kelapa ditutup permanen. #MBG #MakanBergizi https://t.co/Zg6QDPbszX,liput siswa racun mbg siswa racun program mbg dpr desak dapur sppg pondok kelapa tutup permanen,4,positif
nakal dan cantik #mbg,nakal cantik,-7,negatif
@YogaswaraWahyu Maklum Bayarannya Gede #MBG 🤬,maklum bayar gede,-1,negatif
#mbg MINAT BANGET GILA https://t.co/r0MtthsPjL,minat banget gila,3,positif
YA ALLAH ALLHAMDULLILAHH KETERIMA SNBP😭😭😭😭😭😭🙏🏻🙏🏻🙏🏻 langsung saja info loker #MBG https://t.co/tfy7PBVT7Q,allah allhamdullilahh terima snbp langsung info loker,7,positif
Duka rajyat Indonesia uang pajak buat #MBG potongan pajak lapor spt via #coretax wapres Gibran ? @pandji,duka rajyat indonesia uang pajak potong pajak lapor via wapres gibran,-7,negatif
Bikin koin crypto #MBG yang harganya bukan pakai mekanisme pasar melainkan pakai standar harga satu hari MBG,bikin koin crypto harga bukan pakai mekanisme pasar pakai standar harga mbg,1,positif
Tetap Kokoh #MBG katanya - ganti Rezim semua peserta dan Pemilik Dapur masuk Penjara - lihat saja nanti #hening https://t.co/4Ngj7PjdGO,kokoh ganti rezim serta milik dapur masuk penjara lihat,-1,negatif
Langka diborong #MBG kayanya  😄,langka borong kaya,-4,negatif
 Sarapan,sarap,3,positif
Pemerintah Harus Efisiensi Anggaran MBG: Risiko Kebocoran Hingga Dampak Ekonomi Minim https://t.co/eKcZXUVgpr #MakanBergiziGratis,perintah efisiensi anggar mbg risiko bocor dampak ekonomi minim,-10,negatif
Kok lebih enak ini dari #MBG ku?,enak ku,1,positif
#MBG Kebangaan Kita😁 https://t.co/k7C1kGpYXw,kebangaan,0,netral
Program Makan Bergizi Gratis adalah bukti kepedulian pemerintah pada pemenuhan gizi bagi seluruh generasi penerus bangsa agar memiliki hak yang sama dalam memajukan bangsa Indonesia. #MBG #Kalbar #IndonesiaEmas https://t.co/Ld9pqpbaS3,program makan gizi gratis bukti peduli perintah penuh gizi generasi terus bangsa milik hak maju bangsa indonesia,2,positif
@ngebolanglagi Solusinya adalah MBG #MBG,solusi mbg,3,positif
Menu #MBG edisi Ramadhan yang bukan dari SPPG https://t.co/OIVfWbA0qV,menu edisi ramadhan bukan sppg,-3,negatif
inikah #mbg My boyfriend gw…? 👩‍🍳🥣#onedoorcreates https://t.co/jPFMb0MOud,my boyfriend gue,0,netral
Ntah gimana mikirnya orang2 jaman now. Bingung akutu 😂 #dpr #apbn #mbg https://t.co/qOT9ncILnH,mikirnya orang jaman now bingung akutu,-2,negatif
@Opposisi6890 Berkah Ramadhan makin terasa dengan MBG! 🌙🍱 Nikmati menu favorit dan kue tradisional yang terjaga kualitasnya untuk nutrisi harian kita. Tetap sehat dan penuh keberkahan! ✨ #BerkahRamadhan #MBG https://t.co/3lnd0Sdibj,berkah ramadhan mbg nikmat menu favorit kue tradisional jaga kualitas nutrisi hari sehat penuh berkah,12,positif
 bukan gimmick.;,bukan gimmick,-3,negatif
@msaid_didu Anggaran pendidikan tetap utuh! 📚🇮🇩 Seskab Teddy tegaskan Program MBG jalan beriringan tanpa potong dana sekolah demi generasi pintar &amp;,anggar didik utuh seskab teddy tegas program mbg jalan iring tanpa potong dana sekolah generasi pintar amp,5,positif
Anggaran MBG terserap efektif demi kebutuhan Masyarakat #MBG #Anggaran #PresidenPrabowo #Viral https://t.co/Vean5KlvD7,anggar mbg serap efektif butuh masyarakat,3,positif
Anak SD dapet MBG kali ini.. suruh masak sendiri??? Sayuran mentah buat Sop Ayam. Aneh ga sihhh klo dapet MBG ky gini?? #MBG  #MBGAneh @infobdg @PRFMnews https://t.co/ff2QtEw65H,anak sd mbg kali suruh masak sayur mentah sop ayam aneh enggak sih kalo mbg kaya,-5,negatif
#MBG Mesin Bisnis Gerombolan? https://t.co/HzHUr70qOa,mesin bisnis gerombol,-1,negatif
Program Makan Bergizi Gratis (MBG) secara signifikan menyokong petani lokal dengan menyerap hasil panen secara teratur. #mbg #petani #petanimuda #indonesia https://t.co/AR6Fq1rmPH,program makan gizi gratis mbg signifikan sokong tani lokal serap hasil panen atur,10,positif
Program Makan Bergizi Gratis (MBG) sukses meningkatkan kesejahteraan petani dengan menjamin penyerapan hasil panen secara langsung oleh Satuan Pelayanan Pemenuhan Gizi (SPPG) dengan harga lebih kompetitif. #mbg #petani #petanimuda #indonesia https://t.co/HecYgI6I6O,program makan gizi gratis mbg sukses tingkat sejahtera tani jamin serap hasil panen langsung satu layan penuh gizi sppg harga kompetitif,14,positif
@kompascom Jadi benar bahwa anggaran #mbg itu ngembat anggaran pendidikan. Lanjutkan gugatannya.,anggar ngembat anggar didik lanjut gugat,3,positif
Makan Berjumlah Goceng #MBG https://t.co/ssGZ8s7BMB,makan goceng,0,netral
@tempodotco Kasih paham dulu sama ini video ini..... #MBG #Pigai https://t.co/hT5H53TvRp,kasih paham video,1,positif
Tidak ada paksaan sekolah menerima ato menolak #mbg. Contohnya karena keputusan wali murid ato suasana #ramadan saat ini. #sppg #bgn #prabowogibran https://t.co/zqow3g0bsy,tidak paksa sekolah terima tolak contoh putus wali murid suasana,-3,negatif
Presiden Prabowo Subianto menegaskan komitmennya mengatasi kelaparan dan malnutrisi anak melalui Program Makan Bergizi Gratis (MBG). Investasi di program itu pun akan memberikan manfaat ekonomi hingga 35 kali lipat. Hal… https://t.co/tdSO7bI0p6 #mbg #prabowo #apbn #indonesia https://t.co/OShYv1yoev,presiden prabowo subianto komitmen atas lapar malnutrisi anak program makan gizi gratis mbg investasi program manfaat ekonomi kali lipat,0,netral
MBG Dongkrak Kesejahteraan Desa dan Ekonomi Rakyat #MakanBergiziGratis https://t.co/cYvhH4yIzd,mbg dongkrak sejahtera desa ekonomi rakyat,0,netral
Merasa hina kah ikut membantu #mbg untuk #rakyat? Ampun yang merasa berkoalisi sejati dengan rakyat. Ampun.. #anaksekolah #ibuhamil #wongcilik #sppg #bgn https://t.co/vvfxSVtSNe,hina bantu ampun koalisi sejati rakyat ampun,-7,negatif
Badan Gizi Nasional (BGN) menyampaikan bahwa sajian Makan Bergizi Gratis (MBG) tetap disalurkan kepada para penerima selama libur lebaran Idulfitri 2026 mendatang. Kepala BGN Dadan Hindayana menyampaikan bahwa MBG tidak… https://t.co/gzYnMP3p4I #bisniscom #bgn #mbg #lebaran https://t.co/ZlvG3Q7E5d,badan gizi nasional bgn saji makan gizi gratis mbg salur terima libur lebaran idulfitri kepala bgn dad hindayana mbg tidak,5,positif
Badan Gizi Nasional (BGN) memastikan pelaksanaan program Makan Bergizi Gratis (MBG) tetap berlanjut selama momentum Ramadan 2026 dengan penyesuaian jadwal dan pilihan menu berupa makanan kering. Kepala BGN Dadan Hindayana… https://t.co/dkNmLT8v59 #mbg #ramadan #prabowo #apbn https://t.co/sxKn8GnvPW,badan gizi nasional bgn laksana program makan gizi gratis mbg lanjut momentum ramadan sesuai jadwal pilih menu makan kering kepala bgn dad hindayana,-1,negatif
Kritik keras masyarakat terkait MBG adalah Indikasi respon dari Aplikasi Niat Baik pemimpin tapi otak kurang Cukup Aja .... Dia siapa yg bisikin sih ?? Bloon Amat ? #MBG #prabowobersamarakyat https://t.co/D4pTdPNERE,kritik keras masyarakat kait mbg indikasi respon aplikasi niat pimpin otak kurang bisikin sih bloon,-12,negatif
Presiden RI Prabowo Subianto menyebut telah melakukan penghematan anggaran negara sebesar Rp308 triliun. Dari hasil penghematan anggaran itu kemudian dialihkan untuk sejumlah program seperti Program Makan… https://t.co/WNyc8PqFGp #outlook2026 #prabowo #mbg #apbn #politik https://t.co/B7nD1R6uMU,presiden ri prabowo subianto sebut hemat anggar negara rp triliun hasil hemat anggar alih program program makan,14,positif
Presiden Prabowo Subianto meminta Kepala Staf Kepresidenan Muhammad Qodari untuk mengumpulkan video-video yang meramalkan Program Makan Bergizi Gratis (MBG) gagal dan menghina bangsa Indonesia. Hal ini… https://t.co/3bi7csyrCl #MBG #Prabowo #SPPG #Indonesia #bisniscom https://t.co/622DW1eyH8,presiden prabowo subianto kepala staf presiden muhammad qodari kumpul video video ramal program makan gizi gratis mbg gagal hina bangsa indonesia,-1,negatif
#MBG Mengambil Bagian Guru. https://t.co/lB7KlFcsiS,ambil guru,-2,negatif
Anggota DPR Harap Program Kartu Indonesia Pintar Universitas Tidak Terhenti Gegara MBG Anggota Komisi X DPR RI Andi Muawiyah Ramly menyoroti nasib keberlanjutan dari program Kartu Indonesia Pintar (KIP) Kuliah di tengah besarnya anggaran… https://t.co/iFyKMQZcUB #MBG #DPR #KIP https://t.co/W0nPUimygP,anggota dpr harap program kartu indonesia pintar universitas tidak henti gegara mbg anggota komisi kali dpr ri andi muawiyah ramly sorot nasib lanjut program kartu indonesia pintar kip kuliah besar anggar,-14,negatif
Sumpah demi allah gua milih @prabowo tapi untuk kebijakannya yang 1 ini gua bener2 ga setuju banget! #stopmbg pak @prabowo #mbg ladang korvpsssss ketuanya aja goblock kok! Jangan mau di kibulin sama laporan2 bagus. Dilapangan ga gitu pak @prabowo,sumpah allah gua pilih bijak gua enggak tuju banget ladang korvpsssss ketua goblock jangan kibulin lapor bagus lapang enggak,-8,negatif
Presiden Prabowo menegaskan komitmen pemerintah untuk memperluas cakupan program Makan Bergizi Gratis (MBG). Hingga saat ini pemerintah telah menyalurkan MBG kepada lebih dari 60 juta penerima manfaat di seluruh Indonesia.… https://t.co/pwdXNHpYM4 #mbg #prabowo #makanbergizi https://t.co/cq7uHyxlYv,presiden prabowo komitmen perintah luas cakup program makan gizi gratis mbg perintah salur mbg juta terima manfaat indonesia,19,positif
@idbaruid #MBG . Seperti skripsi mhs: Salah identifikasi &amp;,skripsi mhs salah identifikasi amp,-4,negatif
Program Makan Bergizi Gratis (MBG) tetap berjalan selama Ramadan dengan penyesuaian skema distribusi dan menu #MakanBergiziGratis https://t.co/Mu3j9nJTrp,program makan gizi gratis mbg jalan ramadan sesuai skema distribusi menu,10,positif
dirasakan lebih luas oleh masyarakat.  #KSP #SPPG #MakanBergiziGratis,rasa luas masyarakat,1,positif
Pemerintah berencana membangun 12 unit pabrik peternakan ayam pedaging dan petelur dengan total nilai investasi mencapai Rp20 triliun. Pendanaan proyek tersebut akan berasal dari BPI Danantara dan ditujukan untuk mendukung… https://t.co/ZG2JdcDfxS #mbg #prabowo #ekonomi https://t.co/bh37KJ9O3m,perintah rencana bangun unit pabrik terna ayam daging telur total nilai investasi capai rp triliun dana proyek asal bpi danantara dukung,6,positif
#minat #MBG (My Bini Gweh),my bini gweh,0,netral
 &amp;,amp,0,netral
Penerima Manfaat #MBG Tembus 55 Juta Orang https://t.co/CAqXF4FLuT,terima manfaat tembus juta orang,12,positif
Yg menjadi pengawal di mobil MBG nggak sembarangan nih.. 😅 #MBG https://t.co/BwV37im1K4,awal mobil mbg enggak sembarang nih,-3,negatif
Indonesia melompat signifikan masuk dalam daftar empat besar dunia sebagai penyedia layanan makanan bergizi skala besar. #MBG #indonesiamaju #presidenprabowo #ksp https://t.co/pTY00TRn2S,indonesia lompat signifikan masuk daftar dunia sedia layan makan gizi skala,-4,negatif
@SumandoGaek Makanan Buat Genosida #MBG,makan genosida,0,netral
Makan Bergizi Gratis menjadikan SDM Indonesia Unggul dan Sejahtera #MBG #ManfaatMakanBergiziGratis #PresidenPrabowo #PemerintahPeduli #Viral https://t.co/SMPZku9HxR,makan gizi gratis jadi sdm indonesia unggul sejahtera,3,positif
@tempodotco Pak @prabowo @DivHumas_Polri @Gerindra berhasilnya dimana ya? Tiap propinsi tiap daerah banyak yg komplain? Apakah program #MBG maksudnya proyeknya berhasil telah mensejahterakan pejabat beserta keluarganya? https://t.co/DnWySph70z,hasil propinsi daerah komplain program maksud proyek hasil sejahtera jabat serta keluarga,8,positif
Program Makan Bergizi Gratis (MBG) di Kapuas terus diperkuat dengan penambahan layanan SPPG — untuk memastikan gizi anak sekolah terpenuhi secara optimal. #IndonesiaTerang #MBG https://t.co/Q3H2n1CHE8,program makan gizi gratis mbg kapuas kuat tambah layan sppg gizi anak sekolah penuh optimal,6,positif
Program MBG adalah Bukti Nyata Pemerintah hadir di tanah Papua #papua #mbg #papuasehat #siswahebat https://t.co/PhdYy2sVwF,program mbg bukti nyata perintah hadir tanah papua,-2,negatif
@antaranews negara yg sedang berperang dan menjadi korban perang malah ingin bantu rakyat indonesia yg sedang sekolah dlm meraih cita2 tp pemerintah kita hanya #MBG yg slalu di gaung2 kan,negara perang korban perang bantu rakyat indonesia sekolah raih cita perintah gaung,-9,negatif
@yaniarsim Akhirnya ada korban #MBG meninggal Dunia. Masih bicara presentase Pak @prabowo ?,korban tinggal dunia bicara presentase,-7,negatif
@abu_waras Trus di transfer kesiapa kah???!!! Kejar dong dang tuntutan baru pak @KejaksaanRI buat bayar #mbg #whoosh kasihan 🇮🇩 pak @PurbayaYudhi dan presiden @prabowo #apbn kembang kempis gali lobang tutup lobang asal jgn sampai masuk gorong-gorong ya 😜🤭🏃🏾‍♀️🏃🏾‍♀️🏃🏾‍♀️,transfer siapa kejar dang tuntut bayar kasihan presiden kembang kempis gali lobang tutup lobang jangan masuk gorong gorong,-10,negatif
Ekonomi tidak tumbuh dari perut tapi dari produksi. Sebatas yang paham ekonomi saja #MBG https://t.co/gJu3GYSana,ekonomi tidak tumbuh perut produksi batas paham ekonomi,-5,negatif
Kepala Badan Gizi Nasional (BGN) Dadan Hindayana menilai Presiden RI Prabowo Subianto sebagai sosok Brilliant Commander. Pernyataan itu disampaikan Dadan dalam paparannya pada acara Indonesia Economic… https://t.co/TRXHoKWHks #prabowo #MBG #BGN #bisniscom #topnewsbisniscom https://t.co/WF9XpfxGCL,kepala badan gizi nasional bgn dad hindayana nilai presiden ri prabowo subianto sosok brilliant commander nyata dad papar acara indonesia economic,4,positif
"Setelah MBG (Makan Bergizi Gratis) kini ada MBG (Motor Bergaya Gratis)

Sedangkan para pendidik bahkan masih banyak yg jalan kaki  menembus semak belukar dan hutan tapi tidak ada perhatian dari pemerintah,padahal pendidik pencetak generasi harapan,bukan produsen isi septictank",mbg makan gizi gratis mbg motor gaya gratis didik jalan kaki tembus semak belukar hutan tidak perhati perintah didik cetak generasi harap bukan produsen isi septictank,3,positif
"Arah Kebijakan BPP Tahun Anggaran 2026
Prioritas Utama:
- Makan Bergizi Gratis
- Ketahanan Pangan
- Ketahanan Energi
- Perumahan
- Pertahanan Keamanan
Prioritas Pendukung:
- Pendidikan
- Kesehatan
Sinkronisasi Program
- Pro-growth
- Pro-employment
- Pro-devisa",arah bijak bpp anggar prioritas utama makan gizi gratis tahan pangan tahan energi rumah tahan aman prioritas dukung didik sehat sinkronisasi program pro growth pro employment pro devisa,16,positif
"Ratusan Dapur di Wilayah II dan III Disuspend

Jakarta - Badan Gizi Nasional (BGN) kembali melakukan penindakan tegas dengan menghentikan sementara operasional (suspend) ratusan Satuan Pelayanan Pemenuhan Gizi (SPPG) di sejumlah wilayah. Langkah ini diambil untuk memastikan https://t.co/egtZXcE1Fy",ratus dapur wilayah ii iii disuspend jakarta badan gizi nasional bgn tindak henti operasional suspend ratus satu layan penuh gizi sppg wilayah langkah ambil,-9,negatif
Asosiasi Pengusaha dan Pengelola Dapur Makan Bergizi Gratis Indonesia (APPMBGI) secara resmi memperkuat struktur organisasi mereka dengan menunjuk Hashim Djojohadikusumo sebagai Ketua Penasihat.  https://t.co/9L6fJ6q1q9,asosiasi usaha kelola dapur makan gizi gratis indonesia appmbgi resmi kuat struktur organisasi hashim djojohadikusumo ketua nasihat,4,positif
"@leyatjolee Cowok ku ibunya 150an bapaknya 160an dengan keadaan ekonomi yang oke, makan bergizi setiap hari, jadilah belio 180cm 😭😭😭",cowok ku ibu an bapak an ekonomi oke makan gizi belio,2,positif
"ohyul sehat selalu yah, jangan sakit... kalo cape istirahat... tidur yang cukup... makan yang bergizi dan sehat...  https://t.co/kKQG0kgKtq",ohyul sehat jangan sakit kalo capek istirahat tidur makan gizi sehat,-4,negatif
"@kenhans03 Nggak usah ada MBG anak anak juga pada makan dan sehat. Yg stunting aja diurusin, biar bisa makan bergizi dan berkembang sehat.",enggak mbg anak anak makan sehat stunting urus biar makan gizi kembang sehat,1,positif
"@bknantekaxing Makan makanan yang bergizi jan lupaa, ntarr gua pakek sampek gabisa jalan",makan makan gizi jangan lupaa ntarr gua pakai enggak bisa jalan,-6,negatif
"Badan Gizi Nasional (BGN) kembali menangguhkan atau menghentikan sementara operasional ratusan Satuan Pelayanan Pemenuhan Gizi (SPPG) di Wilayah II (Pulau Jawa) dan Wilayah III (bagian timur) Indonesia.

Hal itu dilakukan untuk memastikan pelaksanaan Program Makan Bergizi Gratis https://t.co/IBKcmRozP4",badan gizi nasional bgn tangguh henti operasional ratus satu layan penuh gizi sppg wilayah ii pulau jawa wilayah iii timur indonesia laksana program makan gizi gratis,2,positif
"hei, anak kecil, bagimana rasanya mam pagi bergizi kemudian hidup makan indomi setiap hari? https://t.co/KjvjhLZsB5",hei anak bagimana mam pagi gizi hidup makan indomi,-12,negatif
